,date,name,title,description,link
652,11/09/2020 , [SFBT],"AGO/AGE pour le mardi 24 novembre 2020, à 9H à l'hôtel Le Palace Gammarth - Les côtes de Carthage - GAMMARTH (salle Sérail) le 24/11/2020","L'AGE statuera sur l'absorption de la Compagnie de Fabrication et de Développement des Boissons ""C.F.D.B."" L'AGO, quant à elle, statuera sur la nomination de deux administrateurs",http://www.bnacapitaux.com.tn/publications/news/420085_2205202016943.pdf
653,21/09/2020 , [CARTHAGE CEMENT],Report de la date limite du dépôt du dossier de manifestation d’intérêt,"Prévu initialement pour le 25 septembre courant, le deadline pour la manifestation d’intérêt pour l’acquisition d’un bloc majoritaire dans le capital de la société Carthage Cement a été reporté au 4 décembre 2020 à 17h00......",http://www.bnacapitaux.com.tn/publications/news/110025_1109202017450.pdf
654,29/05/2020 , [TUNISAIR],Indicateurs d'activité arrêtés au 31/03/2020,"A fin Mars 2020, le chiffre d'affaires de la compagnie s'est élevé à 220 579MD en repli de 27,6% par rapport à fin mars 2019.",http://www.bnacapitaux.com.tn/publications/news/740001_21092020-1.docx
655,29/05/2020 , [SOPAT],Augmentation de capital en numéraire réservée,"Le capital sera augmenté de 10MD pour le porter à 37,8MD. Les nouvelles actions seront souscrites au prix d'émission de 1,600D (dont 1D de nominal) par les sociétés suivantes: Les Sociétés « MEDIGRAIN », « S.T.P.A », « GMC », « Les Pates Warda », « ACN », « CDS », « GSS » et « UNAGRO ».",http://www.bnacapitaux.com.tn/publications/news/420085_2205202016942.pdf
656,29/05/2020 , [Placement Obligataire SICAV],"Distribution d' un dividende brut de 5,504D par action à compter du 29 Mai 2020.","En application de la décision de son Assemblée Générale Ordinaire du 27 Mai 2020, Placement Obligataire SICAV a le plaisir d’informer ses actionnaires qu’elle met en paiement au titre de l’exercice 2019, à compter du 29 Mai 2020 un dividende brut de 5,504D par action. Le règlement de ce dividende sera effectué en numéraire aux guichets de la BNA et BNA CAPITAUX.",http://www.bnacapitaux.com.tn/publications/news/666001_22052020-1.pdf
657,29/05/2020 , [SICAV BNA],"Distribution d' un dividende brut de 1,432D par action à compter du 29 Mai 2020.","En application de la décision de son Assemblée Générale Ordinaire du 27 Mai 2020, SICAV BNA a le plaisir d’informer ses actionnaires qu’elle met en paiement au titre de l’exercice 2019, à compter du 29 Mai 2020 un dividende brut de 1,432D par action. Le règlement de ce dividende sera effectué en numéraire aux guichets de la BNA et BNA CAPITAUX.",http://www.bnacapitaux.com.tn/publications/news/666001_2205202016939.pdf
658,29/05/2020 , [BCT],"Maintien inchangé du taux d'intérêt directeur à 6,75%","Le Conseil d’Administration de la Banque Centrale de Tunisie a tenu sa réunion périodique le 27 mai 2020, il a décidé de maintenir inchangé le taux d'intérêt directeur à 6,75%",http://www.bnacapitaux.com.tn/publications/news/380070_2205202016938.pdf
659,28/05/2020 , [CIL],Clôture des souscriptions à l’emprunt obligataire « CIL 2020/1 » de 10MD susceptible d’être porté à un maximum de 15MD,"La Compagnie Générale d’Investissement, Intermédiaire en Bourse, porte à la connaissance du public que les souscriptions à l’emprunt obligataire « CIL 2020/1 » de 10MD susceptible d’être porté à un maximum de 15MD, ouvertes au public le 10 avril 2020, ont été clôturées le 27 mai 2020, pour un montant de 15MD.",http://www.bnacapitaux.com.tn/publications/news/772001_22052020-1.pdf
660,11/09/2020 , [SFBT],"AGO/AGE pour le mardi 24 novembre 2020, à 9H à l'hôtel Le Palace Gammarth - Les côtes de Carthage - GAMMARTH (salle Sérail) le 24/11/2020","L'AGE statuera sur l'absorption de la Compagnie de Fabrication et de Développement des Boissons ""C.F.D.B."" L'AGO, quant à elle, statuera sur la nomination de deux administrateurs",http://www.bnacapitaux.com.tn/publications/news/110025_1109202017450.pdf
661,21/09/2020 , [CARTHAGE CEMENT],Report de la date limite du dépôt du dossier de manifestation d’intérêt,"Prévu initialement pour le 25 septembre courant, le deadline pour la manifestation d’intérêt pour l’acquisition d’un bloc majoritaire dans le capital de la société Carthage Cement a été reporté au 4 décembre 2020 à 17h00......",http://www.bnacapitaux.com.tn/publications/news/740001_21092020-1.docx
662,27/05/2020 , [Physionomie quotidienne],Veuillez télécharger notre physionomie quotidienne de la séance du 27/05/2020,"Le marché a clôturé la séance d'aujourd'hui sur une note négative avec -0,1% pour le Tunindex ramenant ainsi sa performance depuis le début de 2020 à -9,2%.Les capitaux transigés se sont élevés à 3,458MD.",http://www.bnacapitaux.com.tn/publications/news/380070_2205202016936.pdf
663,27/05/2020 , [DELICE HOLDING],Projet de résolutions de l'AGO du 25/06/2020,"L'AGO devra statuer sur la distribution d'un dividende de 0,333 contre 0,410D une année auparavant",http://www.bnacapitaux.com.tn/publications/news/768001_22052020-1.pdf
664,27/05/2020 , [ASSAD],AGO à 10H à la Maison de l'Entreprise - Les berges du lac le 24/06/2020,Les actionnaires de l’ACCUMULATEUR TUNISIEN ASSAD sont convoqués pour se réunir en Assemblée Générale Ordinaire à 10h00 le mercredi 24 juin 2020.,http://www.bnacapitaux.com.tn/publications/news/644001_22052020-1.pdf
665,27/05/2020 , [SIPHAT],Indicateurs d'activité arrêtés au 31/03/2020,"A fin mars 2020, le chiffre d'affaires de la société s'est élevé à 4,5MD en repli de 35,8% par rapport à 2019.",http://www.bnacapitaux.com.tn/publications/news/644001_2205202016933.pdf
666,27/05/2020 , [SOTRAPIL],Etats financiers arrêtés au 31/12/2019,"En 2019, la société a réalisé un bénéfice net de 7,4MD en progression de 4,3% par rapport à 2018.",http://www.bnacapitaux.com.tn/publications/news/570001_2205202016932.pdf
